City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Lundazi,ZM,-12.2929,33.1782,73.9,43,4,9.24,clear sky
289,Alikovo,RU,55.7383,46.7549,30.07,98,100,8.61,light snow
290,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,40,8.05,scattered clouds
291,Ontario,US,34.0633,-117.6509,79.63,51,20,1.99,haze
292,Vostok,RU,46.4856,135.8833,12.06,99,96,2.62,overcast clouds
293,Berlevag,NO,70.8578,29.0864,30.33,65,100,27.13,light snow
294,Victoria Point,AU,-27.5833,153.3,75.15,82,99,3.0,moderate rain
295,Lisakovsk,KZ,52.5369,62.4936,21.07,83,100,15.14,overcast clouds
296,Palmas,BR,-10.2128,-48.3603,75.07,94,40,3.44,scattered clouds
297,Villa Rica,US,33.7321,-84.9191,58.55,51,13,5.35,few clouds
298,Diffa,NE,13.3154,12.6113,79.9,17,0,9.44,clear sky
299,Acari,PE,-15.4311,-74.6158,73.02,66,98,5.88,overcast clouds
300,Searcy,US,35.2506,-91.7363,61.97,45,1,8.99,clear sky
301,Ixtapa,MX,20.7,-105.2,83.43,61,1,10.36,clear sky
302,Mahibadhoo,MV,3.7833,72.9667,81.95,74,86,18.52,overcast clouds
303,Brae,GB,60.3964,-1.353,40.91,70,94,24.87,overcast clouds
304,Sur,OM,22.5667,59.5289,73.56,58,0,7.47,clear sky
305,Fairbanks,US,64.8378,-147.7164,-0.08,74,1,0.0,clear sky
306,Rudnichnyy,RU,59.617,52.4703,25.7,96,100,7.99,light snow
307,Daugavpils,LV,55.8833,26.5333,39.94,89,100,8.68,overcast clouds
308,Hambantota,LK,6.1241,81.1185,79.14,73,0,8.05,clear sky
309,Lufilufi,WS,-13.8745,-171.5986,87.58,75,42,16.53,scattered clouds
310,Zhuanghe,CN,39.7008,122.9911,39.36,90,100,6.67,overcast clouds
311,Moindou,NC,-21.6924,165.677,76.95,74,96,8.72,overcast clouds
312,La Ronge,CA,55.1001,-105.2842,17.85,67,90,13.8,light snow
313,Sao Domingos,BR,-13.3983,-46.3183,77.61,68,97,2.04,overcast clouds
314,Billings,US,45.7833,-108.5007,52.29,34,20,20.71,few clouds
315,Aberystwyth,GB,52.4155,-4.0829,50.67,76,100,16.26,overcast clouds
316,Kamenka,RU,51.3223,42.7678,36.75,96,100,20.94,overcast clouds
317,Victor Harbor,AU,-35.5667,138.6167,58.71,76,95,12.24,overcast clouds
318,Margate,GB,51.3813,1.3862,50.04,80,78,1.01,broken clouds
319,Dagua,CO,3.6569,-76.6886,82.9,96,98,3.85,overcast clouds
320,San Julian,MX,21.0167,-102.1667,71.87,31,3,3.22,clear sky
321,Egvekinot,RU,66.3167,-179.1667,-0.83,65,0,8.75,clear sky
